date,close,high,low,open,volume,coin,daily_return,log_return,ma_7,ma_30,ma_90,volatility_7d,volatility_30d,bb_upper,bb_lower,bb_mid,daily_range
2023-07-17,30145.888671875,30336.400390625,29685.783203125,30249.626953125,13240156074,BTC,-0.0034131272874816654,-0.003418965294113633,30501.934709821428,30114.976888020832,28277.981640625,0.02120985809906533,0.020234888280561362,31183.843306720853,29747.284427654144,30465.5638671875,650.6171875
2023-07-18,29856.5625,30233.65625,29556.427734375,30147.0703125,13138897269,BTC,-0.009597533349379406,-0.009643886494910275,30392.736328125,30232.321875,28289.469227430556,0.02110146272560304,0.02029917986156457,31204.519332998618,29703.640042001385,30454.0796875,677.228515625
2023-07-19,29913.923828125,30184.181640625,29794.26953125,29862.046875,12128602812,BTC,0.0019212301525000086,0.0019193869502834365,30324.490234375,30334.418359375,28308.001844618055,0.021098392287735607,0.020099322782130377,31215.921736633594,29639.094864928906,30427.50830078125,389.912109375
2023-07-20,29792.015625,30195.53125,29638.095703125,29915.25,14655207121,BTC,-0.0040752996439197275,-0.004083626307646249,30083.9140625,30383.2359375,28335.9474609375,0.013063507939744924,0.017656696613244746,31230.59554212663,29555.897426623367,30393.246484375,557.435546875
2023-07-21,29908.744140625,30045.998046875,29733.8515625,29805.111328125,10972789818,BTC,0.0039181140710413676,0.003910458253167224,30023.153459821428,30379.2841796875,28359.183506944446,0.004381452386348582,0.013841633930316954,31217.97550106413,29500.38406924837,30359.17978515625,312.146484375
2023-07-22,29771.802734375,29991.615234375,29664.12109375,29908.697265625,7873300598,BTC,-0.004578641136054662,-0.004589155219131938,29948.295758928572,30374.6015625,28383.41037326389,0.004465953319972612,0.013849372907395742,31204.5215178559,29428.9413727691,30316.7314453125,327.494140625
2023-07-23,30084.5390625,30330.640625,29741.52734375,29790.111328125,9220145050,BTC,0.010504447141318263,0.010449658783391701,29924.782366071428,30354.237239583334,28411.84592013889,0.006666781178075735,0.013100333797000737,31062.500449725412,29463.772401837086,30263.13642578125,589.11328125
2023-07-24,29176.916015625,30093.39453125,28934.294921875,30081.662109375,15395817395,BTC,-0.03016908602087709,-0.030633538164858885,29786.35770089286,30308.511263020835,28421.505013020833,0.013052816619674045,0.01415793960596322,31080.1488513428,29286.0573986572,30183.103125,1159.099609375
2023-07-25,29227.390625,29353.16015625,29062.43359375,29178.970703125,10266772793,BTC,0.0017299501204297574,0.0017284554802405464,29696.476004464286,30266.748893229167,28430.446006944443,0.01302958148423176,0.014168686726389247,31096.761946335788,29140.76676460171,30118.76435546875,290.7265625
2023-07-26,29354.97265625,29675.552734375,29113.912109375,29225.759765625,13497554655,BTC,0.004365152978824893,0.004355653333464597,29616.625837053572,30236.210286458332,28429.125846354167,0.013213746742844834,0.014165016259840103,31123.919336264607,29058.17285123539,30091.04609375,561.640625
2023-07-27,29210.689453125,29560.966796875,29099.3515625,29353.798828125,10770779217,BTC,-0.004915119656712763,-0.004927238584293436,29533.579241071428,30186.9611328125,28427.68615451389,0.013233013322135823,0.013904677407087996,31131.38375003796,28937.55082027454,30034.46728515625,461.615234375
2023-07-28,29319.24609375,29521.513671875,29125.845703125,29212.1640625,11218474952,BTC,0.0037163327075591113,0.0037094442045335473,29449.365234375,30161.394466145834,28428.472352430555,0.013216314345733641,0.013506227581292378,31120.229950759174,28851.375127365827,29985.8025390625,395.66796875
2023-07-29,29356.91796875,29396.84375,29264.166015625,29319.4453125,6481775959,BTC,0.001284885528077373,0.0012840607690722545,29390.09598214286,30125.113346354166,28429.4513671875,0.01326783731111998,0.013299063262648292,31109.547438791273,28780.62599870873,29945.08671875,132.677734375
